id,lat,lng,locale,displayName,displayNameAlternate,street,zipCode,city,timezone,stateProvinceCode,displayAddress
188,52.1331,20.8958,pl/pl,Warszawa Janki,IKEA Warszawa Janki,"Janki, pl. Szwedzki 1",05-090,Raszyn,Europe/Warsaw,PLMZ,"Janki, pl. Szwedzki 1, Raszyn"
189,33.7101,130.4496,jp/ja,福岡新宮,IKEA福岡新宮,糟屋郡新宮町中央駅前2-9-1,811-0120,福岡県,Asia/Tokyo,JP40,福岡県糟屋郡新宮町中央駅前2-9-1
189,33.7101,130.4496,jp/en,Fukuoka Shingu,IKEA Fukuoka Shingu,"2-9-1 Chuou Ekimae, Shingu-machi",811-0120,Kasuya-gun,Asia/Tokyo,JP40,"2-9-1 Chuou Ekimae, Shingu-machi, Kasuya-gun"
197,24.6594,46.7873,sa/ar,الرياض,ايكيا معرض الرياض,الطريق الدائري الشرقي، الفاروق,11633,الرياض,Asia/Riyadh,SA06,"الطريق الدائري الشرقي، الفاروق, الرياض"
197,24.6594,46.7873,sa/en,Riyadh,IKEA Riyadh store,"Eastern Ring Road, Al faruq",11633,Riyadh,Asia/Riyadh,SA06,"Eastern Ring Road, Al faruq, Riyadh"
198,49.25817095433124,3.9643556161401636,fr/fr,Reims,IKEA Reims,ZAC NORD THILLOIS,51370,THILLOIS,Europe/Paris,FRGES,"ZAC NORD THILLOIS, THILLOIS"
199,49.145819724429145,-0.3640724300306005,fr/fr,Caen,IKEA Caen,970 avenue de Suisse Normande,14123,FLEURY SUR ORNE,Europe/Paris,FRNOR,"970 avenue de Suisse Normande, FLEURY SUR ORNE"
202,60.2177,24.6627,fi/fi,Espoo,IKEA Espoo,Espoontie 21,02740,Espoo,Europe/Helsinki,FIES,"Espoontie 21, Espoo"
202,60.2177,24.6627,fi/en,Espoo,IKEA Espoo,Espoontie 21,02740,Espoo,Europe/Helsinki,FIES,"Espoontie 21, Espoo"
203,54.374,18.517,pl/pl,Gdańsk,IKEA Gdańsk,ul. Złota Karczma 26,80-298,Gdańsk,Europe/Warsaw,PLPM,"ul. Złota Karczma 26, Gdańsk"
204,50.0894,19.8976,pl/pl,Kraków,IKEA Kraków,ul. Josepha Conrada 66,31-357,Kraków,Europe/Warsaw,PLMA,"ul. Josepha Conrada 66, Kraków"
205,52.3828,16.9875,pl/pl,Poznań,IKEA Poznań,ul. Szwedzka 10,61-285,Poznań,Europe/Warsaw,PLWP,"ul. Szwedzka 10, Poznań"
206,32.2733,34.8605,il/he,נתניה,איקאה נתניה,"רח' גיבורי ישראל 1, אזה""ת פולג",4250401,נתניה,Asia/Jerusalem,ILM,"רח' גיבורי ישראל 1, אזה""ת פולג, נתניה"
207,26.1215,-80.3319,us/es,"Sunrise, FL","IKEA Sunrise, FL",151 NW 136 Ave,33325,Sunrise,America/New_York,USFL,"151 NW 136 Ave, Sunrise"
207,26.1215,-80.3319,us/en,"Sunrise, FL","IKEA Sunrise, FL",151 NW 136th Ave,33325,Sunrise,America/New_York,USFL,"151 NW 136th Ave, Sunrise"
208,62.8246,27.605,fi/fi,Kuopio,IKEA Kuopio,Ratarinteenkatu 2,70800,Kuopio,Europe/Helsinki,FIIS,"Ratarinteenkatu 2, Kuopio"
208,62.8246,27.605,fi/en,Kuopio,IKEA Kuopio,Ratarinteenkatu 2,70800,Kuopio,Europe/Helsinki,FIIS,"Ratarinteenkatu 2, Kuopio"
209,33.3406,-111.9702,us/es,"Tempe, AZ","IKEA Tempe, AZ",2110 West IKEA Way,85284,Tempe,America/Phoenix,USAZ,"2110 West IKEA Way, Tempe"
209,33.3406,-111.9702,us/en,"Tempe, AZ","IKEA Tempe, AZ",2110 West IKEA Way,85284,Tempe,America/Phoenix,USAZ,"2110 West IKEA Way, Tempe"
210,42.0567,-88.0353,us/en,"Schaumburg, IL","IKEA Schaumburg, IL",1800 McConnor Pkwy,60173,Schaumburg,America/Chicago,USIL,"1800 McConnor Pkwy, Schaumburg"
210,42.0567,-88.0353,us/es,"Schaumburg, IL","IKEA Schaumburg, IL",1800 McConnor Pkwy,60173,Schaumburg,America/Chicago,USIL,"1800 McConnor Pkwy, Schaumburg"
211,40.0942,-75.3079,us/en,"Conshohocken, PA","IKEA Conshohocken, PA",400 Alan Wood Road,19428,Conshohocken,America/New_York,USPA,"400 Alan Wood Road, Conshohocken"
211,40.0942,-75.3079,us/es,"Conshohocken, PA","IKEA Conshohocken, PA",400 Alan Wood Road,19428,Conshohocken,America/New_York,USPA,"400 Alan Wood Road, Conshohocken"
212,44.859,-93.2435,us/en,"Minneapolis, MN","IKEA Minneapolis, MN",8000 IKEA Way,55425-5800,Bloomington,America/Chicago,USMN,"8000 IKEA Way, Bloomington"
212,44.859,-93.2435,us/es,"Minneapolis, MN","IKEA Minneapolis, MN",8000 IKEA Way,55425-5800,Bloomington,America/Chicago,USMN,"8000 IKEA Way, Bloomington"
213,41.295,-72.9192,us/en,"New Haven, CT","IKEA New Haven, CT",450 Sargent Drive,06511,New Haven,America/New_York,USCT,"450 Sargent Drive, New Haven"
213,41.295,-72.9192,us/es,"New Haven, CT","IKEA New Haven, CT",450 Sargent Drive,06511,New Haven,America/New_York,USCT,"450 Sargent Drive, New Haven"
215,39.9167,-75.1401,us/en,"South Philadelphia, PA","IKEA South Philadelphia, PA",2206 S Christopher Columbus Blvd,19148,Philadelphia,America/New_York,USPA,"2206 S Christopher Columbus Blvd, Philadelphia"
215,39.9167,-75.1401,us/es,"South Philadelphia, PA","IKEA South Philadelphia, PA",2206 S Christopher Columbus Blvd,19148,Philadelphia,America/New_York,USPA,"2206 S Christopher Columbus Blvd, Philadelphia"
216,50.9799,-114.0448,ca/en,Calgary,IKEA Calgary,8000 - 11th Street S.E.,T2H 3B2,Calgary,America/Edmonton,CAAB,"8000 - 11th Street S.E., Calgary"
216,50.9799,-114.0448,ca/fr,Calgary,IKEA Calgary,8000 - 11th Street S.E.,T2H 3B2,Calgary,America/Edmonton,CAAB,"8000 - 11th Street S.E., Calgary"
217,31.9526,34.7655,il/he,ראשון לציון,איקאה ראשון לציון,"רח' היוזמה 1, מרכז עסקים שורק, כביש פלמחים",4250401,ראשון לציון,Asia/Jerusalem,ILTA,"רח' היוזמה 1, מרכז עסקים שורק, כביש פלמחים, ראשון לציון"
218,25.223621347391813,55.355481976058776,ae/ar,دبي فيستيفال سيتي,ايكيا دبي فيستيفال سيتي,متجر ايكيا دبي، دبي فيستيفال سيتي,50618,دبي,Asia/Dubai,,"متجر ايكيا دبي، دبي فيستيفال سيتي, دبي"
218,25.223621347391813,55.355481976058776,ae/en,Dubai Festival City,IKEA Dubai Festival City,Dubai Festival City,50618,DUBAI,Asia/Dubai,AEDU,"Dubai Festival City, DUBAI"
219,29.3017923,47.9272038,kw/ar,الأفنيوز,ايكيا الأفنيوز,الطريق الدائري الخامس، منطقة الري,13037,الكويت,Asia/Kuwait,KWKU,"الطريق الدائري الخامس، منطقة الري, الكويت"
219,29.3017923,47.9272038,kw/en,Avenues,IKEA Avenues,"The Avenues Mall, Al Rai, Block 1",13037,Kuwait,Asia/Kuwait,KWKU,"The Avenues Mall, Al Rai, Block 1, Kuwait"
221,51.08640651,13.69434213,de/de,Dresden,IKEA Dresden,Peschelstraße 25,01139,Dresden,Europe/Berlin,DESN,"Peschelstraße 25, Dresden"
221,51.08640651,13.69434213,de/en,Dresden,IKEA Dresden,Peschelstraße 25,01139,Dresden,Europe/Berlin,DESN,"Peschelstraße 25, Dresden"
222,50.1496729,8.942477,de/de,Hanau,IKEA Hanau,Oderstraße 21,63452,Hanau,Europe/Berlin,DEHE,"Oderstraße 21, Hanau"
222,50.1496729,8.942477,de/en,Hanau,IKEA Hanau,Oderstraße 21,63452,Hanau,Europe/Berlin,DEHE,"Oderstraße 21, Hanau"
223,51.49114718,7.36942207,de/de,Dortmund,IKEA Dortmund,Borussiastraße 120,44149,Dortmund,Europe/Berlin,DENW,"Borussiastraße 120, Dortmund"
223,51.49114718,7.36942207,de/en,Dortmund,IKEA Dortmund,Borussiastraße 120,44149,Dortmund,Europe/Berlin,DENW,"Borussiastraße 120, Dortmund"
224,48.70144946,9.00545146,de/de,Sindelfingen,IKEA Sindelfingen,Hanns-Martin-Schleyer-Straße 2,71063,Sindelfingen,Europe/Berlin,DEBW,"Hanns-Martin-Schleyer-Straße 2, Sindelfingen"
224,48.70144946,9.00545146,de/en,Sindelfingen,IKEA Sindelfingen,Hanns-Martin-Schleyer-Straße 2,71063,Sindelfingen,Europe/Berlin,DEBW,"Hanns-Martin-Schleyer-Straße 2, Sindelfingen"
225,48.9180169,9.1539393,de/de,Ludwigsburg,IKEA Ludwigsburg,Heinkelstraße 10,71634,Ludwigsburg,Europe/Berlin,DEBW,"Heinkelstraße 10, Ludwigsburg"
225,48.9180169,9.1539393,de/en,Ludwigsburg,IKEA Ludwigsburg,Heinkelstraße 10,71634,Ludwigsburg,Europe/Berlin,DEBW,"Heinkelstraße 10, Ludwigsburg"
226,52.49217842,9.83772312,de/de,Hannover-Großburgwedel,IKEA Hannover-Großburgwedel,Isernhägener Straße 14,30938,"Burgwedel, Hannover",Europe/Berlin,DENI,"Isernhägener Straße 14, Burgwedel, Hannover"
226,52.49217842,9.83772312,de/en,Hannover-Großburgwedel,IKEA Hannover-Großburgwedel,Isernhägener Straße 14,30938,"Burgwedel, Hannover",Europe/Berlin,DENI,"Isernhägener Straße 14, Burgwedel, Hannover"
227,49.2933549,6.7606477,de/de,Saarlouis,IKEA Saarlouis,Im Hader 1-3,66740,Saarlouis,Europe/Berlin,DESL,"Im Hader 1-3, Saarlouis"
227,49.2933549,6.7606477,de/en,Saarlouis,IKEA Saarlouis,Im Hader 1-3,66740,Saarlouis,Europe/Berlin,DESL,"Im Hader 1-3, Saarlouis"
228,53.0264079,8.80364824,de/de,Brinkum,IKEA Brinkum,Henleinstraße 1A,28816,Brinkum,Europe/Berlin,DEHB,"Henleinstraße 1A, Brinkum"
228,53.0264079,8.80364824,de/en,Brinkum,IKEA Brinkum,Henleinstraße 1A,28816,Brinkum,Europe/Berlin,DEHB,"Henleinstraße 1A, Brinkum"
229,49.001756,12.1776994,de/de,Regensburg,IKEA Regensburg,Sulzfeldstraße 7,93055,Regensburg,Europe/Berlin,DEBY,"Sulzfeldstraße 7, Regensburg"
229,49.001756,12.1776994,de/en,Regensburg,IKEA Regensburg,Sulzfeldstraße 7,93055,Regensburg,Europe/Berlin,DEBY,"Sulzfeldstraße 7, Regensburg"
230,45.4908,-73.6926,ca/en,HSU CA,IKEA HSU CA,9090 Cavendish,H4T 1Z8,Ville St. Laurent,America/Montreal,CAQC,"9090 Cavendish, Ville St. Laurent"
230,45.4908,-73.6926,ca/fr,HSU CA,IKEA HSU CA,9090 Cavendish,H4T 1Z8,Ville St. Laurent,America/Montreal,CAQC,"9090 Cavendish, Ville St. Laurent"
231,44.4889,11.2499,it/it,Bologna Casalecchio,IKEA Bologna Casalecchio,"Via John Lennon, 6",40033,CASALECCHIO di RENO,Europe/Rome,ITBO,"Via John Lennon, 6, CASALECCHIO di RENO"
232,44.4234,8.8846,it/it,Genova,IKEA Genova,"Via Luigi Perini, 5",16152,GENOVA,Europe/Rome,ITGE,"Via Luigi Perini, 5, GENOVA"
233,45.55009,9.33175,it/it,Milano Carugate,IKEA Milano Carugate,"Via dell'Artigianato, 7",20061,CARUGATE,Europe/Rome,ITMI,"Via dell'Artigianato, 7, CARUGATE"
234,41.8364,12.5924,it/it,Roma Anagnina,IKEA Roma Anagnina,"Via Fattoria Rampa, 35",00173,ROMA,Europe/Rome,ITRM,"Via Fattoria Rampa, 35, ROMA"
237,31.8262,35.9016,jo/en,Amman,IKEA Amman,Airport Road - Madaba Bridge,11821,AMMAN,Asia/Amman,JOAM,"Airport Road - Madaba Bridge, AMMAN"
237,31.8262,35.9016,jo/ar,عمَّان,ايكيا عمَّان,طريق المطار، بعد جسر مادبا في اتجاه عمّان,11821,عمّان,Asia/Amman,JOAM,"طريق المطار، بعد جسر مادبا في اتجاه عمّان, عمّان"
239,48.60045362535256,7.730440231219902,fr/fr,Strasbourg,IKEA Strasbourg,26 PLACE DE L'ABATTOIR,67000,STRASBOURG,Europe/Paris,FRGES,"26 PLACE DE L'ABATTOIR, STRASBOURG"
240,48.82824105605143,2.5300976547396212,fr/fr,Villiers,IKEA Villiers,"33,35 RUE JEAN JAURES",94350,VILLIERS SUR MARNE,Europe/Paris,FRIDF,"33,35 RUE JEAN JAURES, VILLIERS SUR MARNE"
241,48.593,2.438,fr/fr,HSU FR,IKEA HSU FR,LE CLOS AUX POIS LISSE,91090,EVRY CEDEX,Europe/Paris,,"LE CLOS AUX POIS LISSE, EVRY CEDEX"
242,43.5171,1.3766,fr/fr,Toulouse,IKEA Toulouse,9 ALLEE DE FRAIXINET,31120,Roques SUR GARONNE,Europe/Paris,FROCC,"9 ALLEE DE FRAIXINET, Roques SUR GARONNE"
244,25.385584,51.443192,qa/en,IKEA Doha store,IKEA Doha store,"Street No. 253, Plot 450, Zone No. 70, Al Shamal Road, Al Daayen Municipality, District Al Ebb City Al Kharaitiyat and Umm Slal Mohamed.",Hotline: 8004532,Doha,Asia/Qatar,QAT,"Street No. 253, Plot 450, Zone No. 70, Al Shamal Road, Al Daayen Municipality, District Al Ebb City Al Kharaitiyat and Umm Slal Mohamed., Doha"
244,25.385584,51.443192,qa/ar,ايكيا الدوحة,ايكيا ايكيا الدوحة,رقم الشارع 253، المربع 450، المنطقة 70، شارع الشمال، بلدية الظعاين منطقة العب مدينة الخريطيات و وأم صلال محمد.,24579,الدوحة,Asia/Qatar,QAT,"رقم الشارع 253، المربع 450، المنطقة 70، شارع الشمال، بلدية الظعاين منطقة العب مدينة الخريطيات و وأم صلال محمد., الدوحة"
245,53.55159758,9.94162073,de/de,Hamburg-Altona,IKEA Hamburg-Altona,Große Bergstraße 164 (Einfahrt Parkhaus: Lawaetzweg 7),22767,Hamburg-Altona,Europe/Berlin,DEHH,"Große Bergstraße 164 (Einfahrt Parkhaus: Lawaetzweg 7), Hamburg-Altona"
245,53.55159758,9.94162073,de/en,Hamburg-Altona,IKEA Hamburg-Altona,Große Bergstraße 164 (Einfahrt Parkhaus: Lawaetzweg 7),22767,Hamburg-Altona,Europe/Berlin,DEHH,"Große Bergstraße 164 (Einfahrt Parkhaus: Lawaetzweg 7), Hamburg-Altona"
246,52.1613,4.5516,nl/en,Leiden,IKEA Leiden,Persant Snoepweg 12,2353 KA,Leiderdorp,Europe/Amsterdam,NLZH,"Persant Snoepweg 12, Leiderdorp"
246,52.1613,4.5516,nl/nl,Leiden,IKEA Leiden,Persant Snoepweg 12,2353 KA,Leiderdorp,Europe/Amsterdam,NLZH,"Persant Snoepweg 12, Leiderdorp"
248,60.4815,15.4198,se/sv,Borlänge,IKEA Borlänge,Norra Backagatan 1,78170,Borlänge,Europe/Stockholm,,"Norra Backagatan 1, Borlänge"
248,60.4815,15.4198,se/en,Borlänge,IKEA Borlänge,Norra Backagatan 1,78170,Borlänge,Europe/Stockholm,,"Norra Backagatan 1, Borlänge"
249,49.8389,-97.2104,ca/en,Winnipeg,IKEA Winnipeg,500 Sterling Lyon Parkway,R3P 1E7,Winnipeg,America/Winnipeg,CAMB,"500 Sterling Lyon Parkway, Winnipeg"
249,49.8389,-97.2104,ca/fr,Winnipeg,IKEA Winnipeg,500 Sterling Lyon Parkway,R3P 1E7,Winnipeg,America/Winnipeg,CAMB,"500 Sterling Lyon Parkway, Winnipeg"
251,28.0093,-15.3874,es/es,Las Palmas,IKEA Las Palmas,"PARQUE COMERCIAL LA ESTRELLA, No 7",35219,"LA MARETA, TELDE",Atlantic/Canary,ESGC,"PARQUE COMERCIAL LA ESTRELLA, No 7, LA MARETA, TELDE"
251,28.0093,-15.3874,es/eu,Las Palmas,IKEA Las Palmas,"PARQUE COMERCIAL LA ESTRELLA, No 7",35219,"LA MARETA, TELDE",Atlantic/Canary,ESGC,"PARQUE COMERCIAL LA ESTRELLA, No 7, LA MARETA, TELDE"
251,28.0093,-15.3874,es/gl,Las Palmas,IKEA Las Palmas,"PARQUE COMERCIAL LA ESTRELLA, No 7",35219,"LA MARETA, TELDE",Atlantic/Canary,ESGC,"PARQUE COMERCIAL LA ESTRELLA, No 7, LA MARETA, TELDE"
251,28.0093,-15.3874,es/ca,Las Palmas,IKEA Las Palmas,"PARQUE COMERCIAL LA ESTRELLA, No 7",35219,"LA MARETA, TELDE",Atlantic/Canary,ESGC,"PARQUE COMERCIAL LA ESTRELLA, No 7, LA MARETA, TELDE"
251,28.0093,-15.3874,es/en,Las Palmas,IKEA Las Palmas,"PARQUE COMERCIAL LA ESTRELLA, No 7",35219,"LA MARETA, TELDE",Atlantic/Canary,ESGC,"PARQUE COMERCIAL LA ESTRELLA, No 7, LA MARETA, TELDE"
256,43.619,-79.535,ca/en,Etobicoke,IKEA Etobicoke,1475 The Queensway,M8Z 1T3,Etobicoke,America/Toronto,CAON,"1475 The Queensway, Etobicoke"
256,43.619,-79.535,ca/fr,Etobicoke,IKEA Etobicoke,1475 The Queensway,M8Z 1T3,Etobicoke,America/Toronto,CAON,"1475 The Queensway, Etobicoke"
257,33.7878,-84.4062,us/en,"Atlanta, GA","IKEA Atlanta, GA",441 16th Street,30363,Atlanta,America/New_York,USGA,"441 16th Street, Atlanta"
257,33.7878,-84.4062,us/es,"Atlanta, GA","IKEA Atlanta, GA",441 16th Street,30363,Atlanta,America/New_York,USGA,"441 16th Street, Atlanta"
258,30.032,31.4085,eg/ar,فستيفال سيتي القاهرة,ايكيا فستيفال سيتي القاهرة,الطريق الدائري، التجمع الخامس. صندوق بريد 11835,الخط الساخن: 16576,القاهرة الجديدة,Africa/Cairo,EGCAI,"الطريق الدائري، التجمع الخامس. صندوق بريد 11835, القاهرة الجديدة"
258,30.032,31.4085,eg/en,Cairo Festival City,IKEA Cairo Festival City,"Ring Road, 5th settlement, P.O. Box 11835",Hotline: 16576,Cairo,Africa/Cairo,EGCAI,"Ring Road, 5th settlement, P.O. Box 11835, Cairo"
260,49.15007792189972,6.188146083592657,fr/fr,Metz,IKEA Metz,RUE DU TROU AUX SERPENTS,57140,LA MAXE,Europe/Paris,FRGES,"RUE DU TROU AUX SERPENTS, LA MAXE"
261,53.7448,-1.6462,gb/en,Leeds,IKEA Leeds,Holden Ing Way,WF17 9AE,"Birstall, Batley",Europe/London,GBLDS,"Holden Ing Way, Birstall, Batley"
262,51.4799,0.284,gb/en,Lakeside,IKEA Lakeside,"Heron Way, Lakeside",RM20 3WJ,SUSSEX,Europe/London,GBESS,"Heron Way, Lakeside, SUSSEX"
263,53.0017,-1.2851,gb/en,Nottingham,IKEA Nottingham,"Ikea Way, Giltbrook",NG16 2RP,Nottingham,Europe/London,GBNTT,"Ikea Way, Giltbrook, Nottingham"
264,51.4734,-2.5675,gb/en,Bristol,IKEA Bristol,"Eastgate Road, Eastville",BS5 6XX,Bristol,Europe/London,GBBST,"Eastgate Road, Eastville, Bristol"
265,55.8795,-3.1705,gb/en,Edinburgh,IKEA Edinburgh,"Costkea way, Loanhead",EH20 9BY,"Edinburgh, Midlothian",Europe/London,GBEDH,"Costkea way, Loanhead, Edinburgh, Midlothian"
266,55.868,-4.3572,gb/en,Glasgow,IKEA Glasgow,99 Kings Inch Drive,G51 4FB,Glasgow,Europe/London,GBGLG,"99 Kings Inch Drive, Glasgow"
267,51.4626,-3.1886,gb/en,Cardiff,IKEA Cardiff,"Ferry Road, Grangetown",CF11 0XR,Cardiff,Europe/London,GBCRF,"Ferry Road, Grangetown, Cardiff"
268,56.5497,14.1637,se/sv,Älmhult,IKEA Älmhult,Handelsvägen 4,34333,Älmhult,Europe/Stockholm,,"Handelsvägen 4, Älmhult"
268,56.5497,14.1637,se/en,Älmhult,IKEA Älmhult,Handelsvägen 4,34333,Älmhult,Europe/Stockholm,,"Handelsvägen 4, Älmhult"
269,33.6302821,-7.4600212,ma/fr,Zenata,IKEA Zenata,Autoroute Casablanca-Mohammedia Sortie Zenata,28630,Mohammedia,Africa/Casablanca,,"Autoroute Casablanca-Mohammedia Sortie Zenata, Mohammedia"
269,33.6302821,-7.4600212,ma/en,Zenata,IKEA Zenata,Highway Casablanca-Mohammedia Zenata motorway exit,28630,Mohammedia,Africa/Casablanca,MACAS,"Highway Casablanca-Mohammedia Zenata motorway exit, Mohammedia"
269,33.6302821,-7.4600212,ma/ar,زناتة,ايكيا زناتة,الطريق السريع ما بين الدار البيضاء-المحمدية مخرج طريق زناتة,28630,المحمدية,Africa/Casablanca,,"الطريق السريع ما بين الدار البيضاء-المحمدية مخرج طريق زناتة, المحمدية"
270,52.0625,5.1006,nl/en,Utrecht,IKEA Utrecht,Van Rensselaerlaan 7,3526 AP,Utrecht,Europe/Amsterdam,NLUT,"Van Rensselaerlaan 7, Utrecht"
270,52.0625,5.1006,nl/nl,Utrecht,IKEA Utrecht,Van Rensselaerlaan 7,3526 AP,Utrecht,Europe/Amsterdam,NLUT,"Van Rensselaerlaan 7, Utrecht"
272,51.9661,5.9976,nl/en,Duiven,IKEA Duiven,Biograaf 2,6921 EV,Duiven,Europe/Amsterdam,NLGE,"Biograaf 2, Duiven"
272,51.9661,5.9976,nl/nl,Duiven,IKEA Duiven,Biograaf 2,6921 EV,Duiven,Europe/Amsterdam,NLGE,"Biograaf 2, Duiven"
