,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
1051,Japan,JPN,JPY,370.0,101.53,40934.756,3995054.421,2014-07-01
1052,Israel,ISR,ILS,14.9,3.72455,33250.574,128211.613,2013-01-01
1053,Philippines,PHL,PHP,115.21,43.44,2721.252,114915.21,2013-07-01
1054,Ukraine,UKR,UAH,19.0,8.155,3874.152,30958.462,2013-07-01
1055,Hong Kong,HKG,HKD,18.0,7.75785,38233.352,296537.88,2014-01-01
1056,Euro area,EUZ,EUR,3.72,0.930232558,34712.1726025036,31282.7887979596,2016-01-01
1057,Lithuania,LTU,EUR,8.95,2.56455,15734.38,11846.952,2014-07-01
1058,Singapore,SGP,SGD,4.7,1.3664,57564.802,72937.483,2015-07-01
1059,Switzerland,CHE,CHF,6.5,0.9906,90944.046,80762.135,2012-07-01
1060,UAE,ARE,AED,12.0,3.673,42986.879,157869.311,2012-01-01
1061,France,FRA,EUR,3.8,0.737218475,44144.638,33238.006,2014-01-01
1062,Mexico,MEX,MXN,37.0,13.6844,10554.35,131120.116,2012-01-01
1063,Japan,JPN,JPY,320.0,91.065,49175.035,3923698.42,2013-01-01
1064,Greece,GRC,EUR,2.6,0.777756173,21844.999,16992.035,2013-07-01
1065,Pakistan,PAK,PKR,300.0,100.035,1377.776,123097.394,2013-07-01
1066,Venezuela,VEN,VEF,45.0,6.2921,12688.11,,2013-07-01
1067,Russia,RUS,RUB,89.0,33.93925,15946.458,508586.341,2014-01-01
1068,New Zealand,NZL,NZD,5.7,1.152737752,42081.344,51285.615,2014-07-01
1069,Singapore,SGP,SGD,4.7,1.2747,55547.546,69416.447,2013-07-01
1070,Ukraine,UKR,UAH,19.0,15.822,3119.576,37112.398,2015-01-01
1071,Mexico,MEX,MXN,44.0,18.535,9915.089,157136.978,2016-07-01
1072,Estonia,EST,EUR,2.04,0.788239467,17484.728,12563.482,2012-01-01
1073,Taiwan,TWN,TWD,75.0,29.9795,20838.589,614090.637,2012-01-01
1074,Colombia,COL,COP,8600.0,1982.795,8409.688,15716824.289,2014-01-01
1075,Mexico,MEX,MXN,37.0,13.33275,11099.184,141758.681,2014-01-01
1076,Egypt,EGY,EGP,16.93,7.15005,3583.854,23150.118,2014-07-01
1077,Philippines,PHL,PHP,118.0,42.41,2237.157,100917.447,2011-07-01
1078,New Zealand,NZL,NZD,5.1,1.26000126,38061.507,48107.973,2012-01-01
1079,Israel,ISR,ILS,11.9,4.07625,34445.988,123252.198,2012-07-01
1080,UAE,ARE,AED,12.0,3.67305,45108.027,165659.23,2013-01-01
1081,Switzerland,CHE,CHF,6.5,0.9674,86284.413,80907.555,2013-07-01
1082,Philippines,PHL,PHP,135.0,45.23,2903.189,123229.297,2014-01-01
1083,Norway,NOR,NOK,46.8,8.97465,74568.136,601329.88,2016-01-01
1084,Taiwan,TWN,TWD,69.0,33.2315,22752.991,725992.946,2016-01-01
1085,Belgium,BEL,EUR,3.7,0.742748914,46848.612,35273.92,2014-07-01
1086,Finland,FIN,EUR,4.1,0.742748914,50006.019,37651.239,2014-07-01
1087,Finland,FIN,EUR,4.1,0.912700224,50434.791,37953.908,2015-07-01
1088,India,IND,INR,90.0,59.98,1434.018,78023.615,2013-07-01
1089,Spain,ESP,EUR,3.65,0.863073404,29537.627,22228.076,2015-01-01
1090,New Zealand,NZL,NZD,5.9,1.509092281,44284.679,53301.104,2015-07-01
1091,Estonia,EST,EUR,2.9,0.863073404,20253.974,15241.809,2015-01-01
1092,India,IND,INR,162.0,67.2,1590.174,104106.272,2016-07-01
1093,Brazil,BRA,BRL,10.25,1.805,13631.421,22821.612,2012-01-01
1094,Ukraine,UKR,UAH,19.0,11.685,4051.42,32383.0,2014-07-01
1095,Denmark,DNK,DKK,34.5,6.4174,62729.499,352067.223,2015-01-01
1096,India,IND,INR,116.25,63.43,1559.864,95375.738,2015-07-01
1097,Uruguay,URY,UYU,90.0,19.45,15341.308,296143.497,2012-01-01
1098,Turkey,TUR,TRY,8.45,1.76875,11637.915,20911.569,2013-01-01
1099,Poland,POL,PLN,9.6,3.7736,14183.116,44730.358,2015-07-01
