,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
0,Canada,CAN,CAD,3.19,1.37,28340.085,39704.871,2004-05-01
1,Uruguay,URY,UYU,62.0,23.945,6377.451,153133.756,2007-06-01
2,Israel,ISR,ILS,15.0,3.97425,30185.463,108306.082,2009-07-01
3,Australia,AUS,AUD,3.0,1.98,20910.76,35911.64,2001-04-01
4,Brazil,BRA,BRL,6.9,1.913,6066.958,13197.605,2007-06-01
5,Japan,JPN,JPY,280.0,122.315,36021.9,4189322.191,2007-06-01
6,Uruguay,URY,UYU,44.0,24.125,4476.943,128265.528,2005-06-01
7,Japan,JPN,JPY,320.0,92.565,39992.06,4133559.049,2009-07-01
8,Taiwan,TWN,TWD,75.0,31.8425,16904.543,558805.035,2010-01-01
9,Chile,CHL,CLP,1400.0,655.0,4608.057,2925831.871,2002-04-01
10,Denmark,DNK,DKK,27.75,6.78,33275.556,262701.007,2003-04-01
11,UAE,ARE,AED,10.0,3.673,39073.38,143496.986,2009-07-01
12,Russia,RUS,RUB,41.0,31.1,2546.779,79862.291,2003-04-01
13,Peru,PER,PEN,8.056,2.8705,4276.689,12878.357,2010-01-01
14,Czech Republic,CZE,CZK,52.9,21.11675,15284.674,345366.499,2007-06-01
15,Singapore,SGP,SGD,4.45,1.39555,38926.813,56619.622,2010-01-01
16,Sweden,SWE,SEK,33.0,7.28455,43349.851,323957.266,2006-05-01
17,Canada,CAN,CAD,3.88,1.05345,40559.017,46007.907,2007-06-01
18,Japan,JPN,JPY,320.0,87.18,41469.773,3880330.353,2010-07-01
19,Norway,NOR,NOK,41.5,6.1023,74255.799,476227.19,2007-01-01
20,Hungary,HUN,HUF,740.0,221.96915,13066.422,2643881.567,2010-07-01
21,Finland,FIN,EUR,3.75,0.697520315,46647.002,35157.538,2011-07-01
22,Sweden,SWE,SEK,24.0,10.28,29589.141,271102.937,2001-04-01
23,Peru,PER,PEN,7.9,3.46,1998.363,7027.742,2003-04-01
24,Chile,CHL,CLP,1500.0,592.45,6183.906,3769271.108,2005-06-01
25,Japan,JPN,JPY,250.0,112.105,37819.107,4168354.311,2006-05-01
26,Turkey,TUR,TRY,4.55,1.40975,7961.078,11411.982,2007-01-01
27,Brazil,BRA,BRL,7.5,1.5846,7572.61,14744.314,2008-06-01
28,Thailand,THA,THB,64.49,34.165,4379.659,145900.887,2009-07-01
29,Switzerland,CHE,CHF,6.5,1.03115,71894.922,78231.862,2010-01-01
30,UAE,ARE,AED,9.0,3.6725,39301.136,144333.422,2005-06-01
31,Sri Lanka,LKA,LKR,190.0,102.955,1477.595,148459.868,2006-05-01
32,Argentina,ARG,ARS,7.0,3.0565,5163.55,15094.732,2006-05-01
33,Hungary,HUN,HUF,600.0,180.2106,11483.141,2415938.077,2007-06-01
34,Hong Kong,HKG,HKD,11.2,8.0,25166.902,196297.639,2002-04-01
35,Poland,POL,PLN,5.9,4.04,4987.859,20418.796,2002-04-01
36,Euro area,EUZ,EUR,2.71,0.909090909,23236.5527956418,24591.4082115628,2003-04-01
37,Mexico,MEX,MXN,32.0,12.81375,8346.772,112793.89,2010-01-01
38,Colombia,COL,COP,8400.0,1770.5,6498.573,12340774.77,2011-07-01
39,Japan,JPN,JPY,280.0,121.585,36021.9,4189322.191,2007-01-01
40,Singapore,SGP,SGD,3.6,1.53795,33768.446,53655.809,2007-01-01
41,Taiwan,TWN,TWD,75.0,30.3625,17723.704,582093.712,2008-06-01
42,Costa Rica,CRI,CRC,2050.0,504.305,8268.859,4348350.66,2011-07-01
43,Singapore,SGP,SGD,3.3,1.82,21699.748,38879.926,2002-04-01
44,Saudi Arabia,SAU,SAR,10.0,3.7502,18836.932,70638.494,2010-01-01
45,Denmark,DNK,DKK,24.75,8.04,33492.354,233650.703,2000-04-01
46,Brazil,BRA,BRL,3.6,2.34,3256.18,7650.857,2002-04-01
47,Switzerland,CHE,CHF,6.3,1.37,42656.086,66484.096,2003-04-01
48,Britain,GBR,GBP,1.94,0.531801744,42143.874,23153.113,2006-05-01
49,Ukraine,UKR,UAH,11.0,4.6,3101.388,15662.011,2008-06-01
50,Poland,POL,PLN,6.5,3.09915,8023.921,25947.888,2006-05-01
51,Denmark,DNK,DKK,29.5,5.3375,64531.119,328988.086,2009-07-01
52,Sri Lanka,LKA,LKR,210.0,111.4,1698.156,176506.335,2007-06-01
53,Australia,AUS,AUD,4.35,1.09355,45778.86,57852.456,2010-01-01
54,United States,USA,USD,3.43,1.0,47102.428,47102.428,2010-01-01
55,Hungary,HUN,HUF,459.0,272.0,5269.607,1509676.569,2002-04-01
56,Australia,AUS,AUD,3.45,1.17,37976.196,50409.726,2007-06-01
57,Japan,JPN,JPY,294.0,124.0,39172.971,4221494.688,2001-04-01
58,South Africa,ZAF,ZAR,9.7,10.9,2964.029,25499.541,2002-04-01
59,Taiwan,TWN,TWD,75.0,32.141,16427.459,528611.003,2006-05-01
60,Indonesia,IDN,IDR,18700.0,9152.0,2064.003,18867051.346,2008-06-01
61,Colombia,COL,COP,8200.0,2095.6,5330.795,11501714.225,2010-01-01
62,China,CHN,CNY,14.65,6.445,4499.803,30464.789,2011-07-01
63,Hong Kong,HKG,HKD,15.1,7.7918,32421.361,251886.956,2011-07-01
64,Singapore,SGP,SGD,3.6,1.6607,27608.075,46663.95,2005-06-01
65,Ukraine,UKR,UAH,14.0,7.66,3944.724,20763.38,2009-07-01
66,Switzerland,CHE,CHF,6.5,1.05085,71894.922,78231.862,2010-07-01
67,Hungary,HUN,HUF,399.0,303.0,4619.293,1303468.206,2001-04-01
68,Japan,JPN,JPY,250.0,106.715,38307.103,4144543.92,2005-06-01
69,South Korea,KOR,KRW,2900.0,922.5,21730.952,20760465.708,2007-06-01
70,Denmark,DNK,DKK,30.94,5.16195,58286.537,312466.354,2010-01-01
71,Euro area,EUZ,EUR,2.56,1.075268817,23703.4505779641,22218.4872792845,2000-04-01
72,Czech Republic,CZE,CZK,56.28,34.0,6627.103,252064.034,2002-04-01
73,United States,USA,USD,2.78,1.0,44034.256,44034.256,2006-05-01
74,Israel,ISR,ILS,14.9,3.7325,28394.84,111658.035,2010-01-01
75,Colombia,COL,COP,8200.0,1868.45,5330.795,11501714.225,2010-07-01
76,China,CHN,CNY,11.0,7.6047,2095.239,16706.037,2007-06-01
77,Indonesia,IDN,IDR,14600.0,9545.0,1279.721,11439233.965,2005-06-01
78,Russia,RUS,RUB,39.5,28.5,1424.156,35103.896,2000-04-01
79,Czech Republic,CZE,CZK,59.05,22.1078,13446.938,322153.908,2006-05-01
80,China,CHN,CNY,12.5,6.8327,3446.695,23950.51,2009-07-01
81,Taiwan,TWN,TWD,70.0,30.6,13752.716,443795.548,2000-04-01
82,Argentina,ARG,ARS,2.5,1.0,8638.543,8638.543,2001-04-01
83,Argentina,ARG,ARS,2.5,3.13,8085.356,8085.356,2002-04-01
84,China,CHN,CNY,9.9,8.28,1141.14,9445.22,2003-04-01
85,Pakistan,PAK,PKR,110.0,57.76,771.761,45147.64,2004-05-01
86,Switzerland,CHE,CHF,6.3,1.29,49516.64,66681.624,2004-05-01
87,Poland,POL,PLN,6.9,2.97175,9031.797,28027.095,2007-01-01
88,Saudi Arabia,SAU,SAR,9.0,3.749,17827.359,66852.595,2007-01-01
89,Taiwan,TWN,TWD,75.0,32.7705,16892.883,549584.603,2007-06-01
90,Hong Kong,HKG,HKD,10.7,7.8,25574.491,199284.959,2001-04-01
91,Israel,ISR,ILS,14.9,3.8619,28394.84,111658.035,2010-07-01
92,Hong Kong,HKG,HKD,12.0,7.7807,24873.898,193734.498,2005-06-01
93,Mexico,MEX,MXN,32.0,11.67075,9632.818,121720.366,2011-07-01
94,Philippines,PHL,PHP,65.0,51.0,1003.957,51194.492,2002-04-01
95,Canada,CAN,CAD,3.52,1.1704,36440.967,44144.774,2006-01-01
96,Norway,NOR,NOK,40.0,5.07915,85276.992,499865.3,2008-06-01
97,Russia,RUS,RUB,70.0,29.927,9160.112,291208.18,2010-01-01
98,Britain,GBR,GBP,1.99,0.699300699,28337.638,18692.932,2001-04-01
99,Sweden,SWE,SEK,32.0,7.04125,46425.841,342541.421,2007-01-01
100,New Zealand,NZL,NZD,4.9,1.3177,31914.298,43354.55,2008-06-01
101,Uruguay,URY,UYU,77.0,23.17,10232.122,230759.931,2010-01-01
102,Britain,GBR,GBP,1.88,0.558659218,34480.168,21099.888,2004-05-01
103,Argentina,ARG,ARS,2.5,1.0,8709.072,8709.072,2000-04-01
104,United States,USA,USD,2.89,1.0,46216.853,46216.853,2007-01-01
105,Ukraine,UKR,UAH,14.5,7.899,2557.279,19924.373,2010-07-01
106,Canada,CAN,CAD,3.33,1.56,24296.721,36090.206,2001-04-01
107,Venezuela,VEN,VEF,4400.0,2977.0,3266.095,,2004-05-01
108,Australia,AUS,AUD,4.35,1.133722578,45778.86,57852.456,2010-07-01
109,Taiwan,TWN,TWD,75.0,33.4,14040.597,483266.82,2004-05-01
110,Costa Rica,CRI,CRC,1130.0,509.535,5309.271,2714244.847,2007-01-01
111,Philippines,PHL,PHP,85.0,45.8975,1470.825,75474.329,2007-06-01
112,Uruguay,URY,UYU,29.8,29.735,3941.678,111042.318,2004-05-01
113,Egypt,EGY,EGP,9.25,5.74,1331.362,8008.765,2006-01-01
114,Czech Republic,CZE,CZK,67.92,18.66155,22925.748,390862.908,2009-07-01
115,Hungary,HUN,HUF,339.0,279.0,4786.245,1135038.135,2000-04-01
116,South Korea,KOR,KRW,2500.0,1005.5,16482.75,18893338.346,2005-06-01
117,Hong Kong,HKG,HKD,10.2,7.79,24969.005,193736.592,2000-04-01
118,Switzerland,CHE,CHF,6.3,1.2485,59220.71,74253.492,2007-01-01
119,Indonesia,IDN,IDR,15900.0,9090.0,1765.794,16173465.629,2007-01-01
120,Mexico,MEX,MXN,21.9,9.28,7902.129,73825.314,2002-04-01
121,Chile,CHL,CLP,1400.0,716.0,4479.771,3086278.664,2003-04-01
122,Turkey,TUR,TRY,4.2,1.5415,7350.887,9879.038,2006-05-01
123,New Zealand,NZL,NZD,4.6,1.2797,26219.918,40369.388,2007-06-01
124,Turkey,TUR,TRY,3750000.0,1600500.0,3617.23,5453.307,2003-04-01
125,Hungary,HUN,HUF,490.0,224.0,6644.61,1713401.376,2003-04-01
126,Chile,CHL,CLP,1560.0,522.75,7558.009,4230727.997,2006-01-01
127,Brazil,BRA,BRL,4.55,3.07,2926.341,8545.94,2003-04-01
128,Hong Kong,HKG,HKD,12.0,7.7512,26551.769,206517.447,2006-01-01
129,Switzerland,CHE,CHF,5.9,1.7,41762.292,62733.436,2000-04-01
130,Singapore,SGP,SGD,3.6,1.6353,29961.308,49867.527,2006-01-01
131,Costa Rica,CRI,CRC,2000.0,522.115,6879.266,3943794.751,2010-07-01
132,New Zealand,NZL,NZD,4.45,1.4023,24848.791,37422.408,2005-06-01
133,Pakistan,PAK,PKR,130.0,60.055,948.828,56320.125,2006-05-01
134,Costa Rica,CRI,CRC,1800.0,551.02,6194.045,3199955.073,2008-06-01
135,Colombia,COL,COP,6500.0,2327.7,2827.173,7430853.205,2005-06-01
136,Denmark,DNK,DKK,27.75,5.81825,48872.095,293081.556,2006-05-01
137,Ukraine,UKR,UAH,9.25,5.0275,2319.286,11712.394,2007-06-01
138,Euro area,EUZ,EUR,3.36,0.693649638,39515.1983259993,28361.5226020863,2010-01-01
139,Sweden,SWE,SEK,39.0,7.0821,46734.909,357700.54,2010-01-01
140,Taiwan,TWN,TWD,70.0,34.8,13357.195,451647.956,2002-04-01
141,Turkey,TUR,TRY,5.65,1.55005,10778.131,14021.233,2009-07-01
142,New Zealand,NZL,NZD,3.6,2.24,13669.348,32495.948,2002-04-01
143,New Zealand,NZL,NZD,4.45,1.4467,27385.506,38880.077,2006-01-01
144,Denmark,DNK,DKK,24.75,8.38,30806.607,256397.765,2002-04-01
145,New Zealand,NZL,NZD,4.45,1.62101,27385.506,38880.077,2006-05-01
146,Malaysia,MYS,MYR,5.5,3.502,6351.127,23297.244,2007-01-01
147,Switzerland,CHE,CHF,6.5,1.02215,65366.908,78464.203,2008-06-01
148,Indonesia,IDN,IDR,14500.0,7945.0,829.574,6516424.779,2000-04-01
149,UAE,ARE,AED,9.0,3.6726,43983.848,161530.682,2006-05-01
150,Sweden,SWE,SEK,33.0,6.79165,46425.841,342541.421,2007-06-01
151,Saudi Arabia,SAU,SAR,11.0,3.7504,23403.614,87763.554,2009-07-01
152,Euro area,EUZ,EUR,2.57,1.136363636,21530.7750864103,23301.1740824052,2001-04-01
153,Denmark,DNK,DKK,27.75,6.22,40512.045,266880.121,2004-05-01
154,China,CHN,CNY,9.9,8.28,951.163,7874.12,2001-04-01
155,Denmark,DNK,DKK,24.75,8.46,30798.717,248950.473,2001-04-01
156,Britain,GBR,GBP,1.99,0.632911392,30127.493,20069.383,2003-04-01
157,Malaysia,MYS,MYR,5.04,3.8,4441.824,16878.93,2003-04-01
158,Norway,NOR,NOK,35.5,6.8491,50161.513,355154.383,2004-05-01
159,Chile,CHL,CLP,1565.0,526.75,9410.392,4990095.541,2007-06-01
160,Chile,CHL,CLP,1550.0,494.65,10447.116,5458278.527,2008-06-01
161,Britain,GBR,GBP,2.39,0.614137444,39641.869,25630.226,2011-07-01
162,Canada,CAN,CAD,3.33,1.57,23859.77,36954.966,2002-04-01
163,Sweden,SWE,SEK,26.0,10.4,27207.49,281029.861,2002-04-01
164,South Korea,KOR,KRW,3200.0,1177.0,14672.418,17484325.778,2004-05-01
165,Venezuela,VEN,VEF,6800.0,4125.278,6646.803,,2007-01-01
166,Indonesia,IDN,IDR,22780.0,9063.0,2469.384,25656746.413,2010-07-01
167,UAE,ARE,AED,12.0,3.67305,36324.592,133402.065,2011-07-01
168,Australia,AUS,AUD,2.59,1.68,21780.066,33750.299,2000-04-01
169,Peru,PER,PEN,8.99,3.49,2147.735,7470.629,2004-05-01
170,Peru,PER,PEN,8.99,3.2546,2405.294,8209.37,2005-06-01
171,Indonesia,IDN,IDR,14600.0,9325.0,1404.348,13628832.874,2006-05-01
172,Norway,NOR,NOK,40.0,5.8139,74255.799,476227.19,2007-06-01
173,Chile,CHL,CLP,1600.0,503.1,10176.733,5695043.705,2010-01-01
174,Mexico,MEX,MXN,32.0,12.782,8346.772,112793.89,2010-07-01
175,Norway,NOR,NOK,45.0,5.41405,87823.805,530821.713,2011-07-01
176,Euro area,EUZ,EUR,2.67,1.123595506,21427.0572497957,23923.8547405045,2002-04-01
177,Ukraine,UKR,UAH,8.5,5.05,1839.515,9422.511,2006-05-01
178,Argentina,ARG,ARS,11.0,3.0195,7315.726,22791.226,2008-06-01
179,Chile,CHL,CLP,1560.0,529.95,7558.009,4230727.997,2006-05-01
180,Russia,RUS,RUB,39.0,31.2,2250.201,65644.627,2002-04-01
181,Hong Kong,HKG,HKD,12.0,7.79845,28028.157,217741.408,2007-01-01
182,Euro area,EUZ,EUR,3.31,0.716897269,43807.7929338455,29789.1743171132,2009-07-01
183,Chile,CHL,CLP,1400.0,641.0,4824.87,3335903.18,2004-05-01
184,China,CHN,CNY,10.5,8.0641,1751.368,14351.735,2006-01-01
185,South Africa,ZAF,ZAR,13.95,6.597,6033.211,38382.783,2006-05-01
186,Brazil,BRA,BRL,9.5,1.5416,11578.7,20370.794,2011-07-01
187,UAE,ARE,AED,11.0,3.673,30920.369,113555.055,2010-01-01
188,Denmark,DNK,DKK,28.5,5.19845,58177.162,327192.723,2011-07-01
189,Philippines,PHL,PHP,87.0,44.485,1764.683,81437.301,2008-06-01
190,Mexico,MEX,MXN,20.9,9.41,6435.62,61527.956,2000-04-01
191,Malaysia,MYS,MYR,4.52,3.8,3762.769,14298.522,2000-04-01
192,South Korea,KOR,KRW,3200.0,1018.05,24083.338,22382472.731,2008-06-01
193,Peru,PER,PEN,10.0,2.8275,4276.689,12878.357,2010-07-01
194,Euro area,EUZ,EUR,3.437660401,0.697520315,38579.0168200552,29076.7535851176,2011-07-01
195,Costa Rica,CRI,CRC,1130.0,475.3,4483.59,1963026.314,2005-06-01
196,Chile,CHL,CLP,1670.0,540.15,9410.392,4990095.541,2007-01-01
197,Philippines,PHL,PHP,82.0,52.58,1261.241,69476.107,2006-01-01
198,Denmark,DNK,DKK,27.75,5.75305,52121.249,309953.516,2007-01-01
199,Sri Lanka,LKA,LKR,210.0,107.55,1928.714,213364.891,2008-06-01
200,Sri Lanka,LKA,LKR,210.0,114.86,2410.801,261101.401,2009-07-01
201,Pakistan,PAK,PKR,130.0,59.62,885.149,50961.958,2005-06-01
202,Ukraine,UKR,UAH,7.25,5.06,1374.656,7311.725,2005-06-01
203,Poland,POL,PLN,7.0,2.03145,11252.863,31147.362,2008-06-01
204,Indonesia,IDN,IDR,22534.0,8523.0,3177.453,28884425.178,2011-07-01
205,Hungary,HUN,HUF,760.0,188.0724,13199.056,2744666.767,2011-07-01
206,United States,USA,USD,3.0,1.0,46216.853,46216.853,2007-06-01
207,Switzerland,CHE,CHF,6.5,1.08605,74662.365,80866.061,2009-07-01
208,Russia,RUS,RUB,42.0,29.0,3190.609,97837.731,2004-05-01
209,Czech Republic,CZE,CZK,69.32,17.0219,19983.577,381651.349,2011-07-01
210,Canada,CAN,CAD,3.2,1.45,24279.8,38127.61,2003-04-01
211,Colombia,COL,COP,6500.0,2769.83,2313.535,6657297.983,2004-05-01
212,Philippines,PHL,PHP,80.0,54.55,1137.068,63721.173,2005-06-01
213,Indonesia,IDN,IDR,20900.0,9320.0,2469.384,25656746.413,2010-01-01
214,Philippines,PHL,PHP,85.0,52.625,1261.241,69476.107,2006-05-01
215,Chile,CHL,CLP,1750.0,548.55,10759.738,5621541.795,2009-07-01
216,Egypt,EGY,EGP,14.09,5.962,2922.796,16120.846,2011-07-01
217,Poland,POL,PLN,6.3,3.87,5699.557,22166.004,2004-05-01
218,Poland,POL,PLN,7.6,3.15525,13999.496,33728.169,2009-07-01
219,Sri Lanka,LKA,LKR,210.0,112.775,2472.242,284252.723,2010-07-01
220,Belgium,BEL,EUR,3.75,0.697520315,44448.17,33500.294,2011-07-01
221,Russia,RUS,RUB,42.0,28.4055,4395.83,126635.246,2005-06-01
222,Russia,RUS,RUB,52.0,25.64825,7416.297,201611.744,2007-06-01
223,Thailand,THA,THB,70.0,32.305,4213.01,144446.304,2010-07-01
224,Switzerland,CHE,CHF,6.5,0.80615,76825.669,80121.924,2011-07-01
225,Malaysia,MYS,MYR,7.2,2.973,9046.978,29141.126,2011-07-01
226,Poland,POL,PLN,6.5,3.3096,6684.675,24432.486,2005-06-01
227,Turkey,TUR,TRY,5.65,1.47455,8941.404,13869.33,2010-01-01
228,Australia,AUS,AUD,4.56,0.922381589,56591.468,61545.965,2011-07-01
229,Russia,RUS,RUB,59.0,23.2336,9757.472,249453.17,2008-06-01
230,Switzerland,CHE,CHF,6.3,1.73,38978.168,65827.987,2001-04-01
231,Mexico,MEX,MXN,24.0,11.6,7390.343,79734.537,2004-05-01
232,Poland,POL,PLN,6.9,2.75185,9031.797,28027.095,2007-06-01
233,Thailand,THA,THB,62.0,33.36,3973.019,137141.401,2008-06-01
234,Egypt,EGY,EGP,13.0,5.3125,1862.164,10640.477,2008-06-01
235,Venezuela,VEN,VEF,2500.0,857.0,4963.916,,2002-04-01
236,Canada,CAN,CAD,3.28,1.2494,32178.496,41873.285,2005-06-01
237,Switzerland,CHE,CHF,6.3,1.2475,54774.352,68111.678,2005-06-01
238,South Korea,KOR,KRW,3400.0,1314.5,21387.709,23529170.737,2009-07-01
239,Chile,CHL,CLP,1260.0,514.0,4985.768,2536663.274,2000-04-01
240,Mexico,MEX,MXN,28.0,10.5425,8626.151,94006.861,2006-01-01
241,Euro area,EUZ,EUR,2.94,0.771813376,35198.4482703344,28031.7110705011,2007-01-01
242,Uruguay,URY,UYU,55.0,23.925,6377.451,153133.756,2007-01-01
243,Hong Kong,HKG,HKD,12.0,7.81555,28028.157,217741.408,2007-06-01
244,China,CHN,CNY,10.5,8.28,1044.958,8649.295,2002-04-01
245,Britain,GBR,GBP,1.99,0.689655172,27916.906,19388.882,2002-04-01
246,Canada,CAN,CAD,4.09,1.00355,44717.074,48028.178,2008-06-01
247,Colombia,COL,COP,6500.0,2503.6,3493.986,8110001.666,2006-05-01
248,Hong Kong,HKG,HKD,12.0,7.7533,26551.769,206517.447,2006-05-01
249,Uruguay,URY,UYU,42.28,23.925,5663.499,138315.871,2006-05-01
250,Turkey,TUR,TRY,4.0,1.369,6015.665,8570.077,2005-06-01
251,Singapore,SGP,SGD,3.6,1.5873,29961.308,49867.527,2006-05-01
252,Australia,AUS,AUD,3.45,1.026,45205.282,53908.188,2008-06-01
253,Hungary,HUN,HUF,560.0,206.3444,11211.246,2237568.429,2006-05-01
254,Hungary,HUN,HUF,720.0,199.1577,15761.631,2712786.859,2009-07-01
255,Israel,ISR,ILS,12.0,4.79,20916.046,87965.57,2002-04-01
256,Czech Republic,CZE,CZK,52.1,21.50115,15284.674,345366.499,2007-01-01
257,Venezuela,VEN,VEF,7400.0,2147.3,6646.803,,2007-06-01
258,China,CHN,CNY,12.5,6.8272,3813.408,26050.976,2010-01-01
259,Norway,NOR,NOK,39.0,6.4326,57676.821,388789.838,2005-06-01
260,Poland,POL,PLN,6.5,3.1151,8023.921,25947.888,2006-01-01
261,Britain,GBR,GBP,2.29,0.501039657,50419.848,25190.186,2008-06-01
262,New Zealand,NZL,NZD,4.9,1.59235,31762.876,44450.023,2009-07-01
263,Taiwan,TWN,TWD,70.0,34.8,13651.355,472049.054,2003-04-01
264,Thailand,THA,THB,60.0,40.53,2660.126,106996.686,2005-06-01
265,South Africa,ZAF,ZAR,16.95,7.56325,6776.465,47804.009,2008-06-01
266,New Zealand,NZL,NZD,3.4,2.01,15348.777,28984.963,2000-04-01
267,Norway,NOR,NOK,40.0,6.50925,97119.989,547756.736,2009-07-01
268,South Africa,ZAF,ZAR,9.0,6.72,3423.595,20929.007,2000-04-01
269,Malaysia,MYS,MYR,5.25,3.8,5244.873,19930.516,2005-06-01
270,Mexico,MEX,MXN,32.0,10.1685,10063.621,109977.177,2008-06-01
271,Malaysia,MYS,MYR,7.05,3.3875,7543.882,26589.239,2010-01-01
272,South Africa,ZAF,ZAR,17.95,7.3045,6552.265,55282.006,2010-01-01
273,Czech Republic,CZE,CZK,62.0,23.8375,13446.938,322153.908,2006-01-01
274,Chile,CHL,CLP,1750.0,523.65,10176.733,5695043.705,2010-07-01
275,Indonesia,IDN,IDR,16100.0,9120.0,1186.465,10176465.255,2004-05-01
276,Britain,GBR,GBP,2.29,0.620886626,47884.16,25776.398,2009-07-01
277,Sweden,SWE,SEK,39.0,7.90915,55929.862,368639.27,2009-07-01
278,Malaysia,MYS,MYR,6.77,3.602,8766.175,29220.29,2009-07-01
279,South Africa,ZAF,ZAR,13.95,6.6482,5415.089,34927.774,2005-06-01
280,Mexico,MEX,MXN,29.0,10.8894,9456.912,103073.172,2007-01-01
281,Indonesia,IDN,IDR,16100.0,8740.0,1002.907,9338261.498,2003-04-01
282,Poland,POL,PLN,6.3,3.89,5205.517,21238.683,2003-04-01
283,Canada,CAN,CAD,3.52,1.12045,36440.967,44144.774,2006-05-01
284,Hungary,HUN,HUF,720.0,186.6508,13066.422,2643881.567,2010-01-01
285,Denmark,DNK,DKK,28.5,5.81365,58286.537,312466.354,2010-07-01
286,Ireland,IRL,EUR,3.8,0.697520315,48620.625,36645.045,2011-07-01
287,Singapore,SGP,SGD,3.3,1.81,23852.834,41121.412,2001-04-01
288,Norway,NOR,NOK,35.0,8.56,38553.843,346662.823,2002-04-01
289,Hong Kong,HKG,HKD,12.0,7.79,23856.482,185782.354,2004-05-01
290,Thailand,THA,THB,62.0,34.455,3369.545,127645.035,2007-06-01
291,Philippines,PHL,PHP,99.39,48.385,2011.634,89466.537,2009-07-01
292,Singapore,SGP,SGD,3.2,1.7,21796.642,36944.363,2000-04-01
293,Australia,AUS,AUD,3.0,1.86,19498.339,37669.433,2002-04-01
294,Costa Rica,CRI,CRC,1130.0,433.55,4227.819,1684992.065,2004-05-01
295,New Zealand,NZL,NZD,4.35,1.64,20460.331,35139.161,2004-05-01
296,Pakistan,PAK,PKR,140.0,60.37,1032.277,61788.604,2007-06-01
297,UAE,ARE,AED,11.0,3.67285,30920.369,113555.055,2010-07-01
298,Canada,CAN,CAD,4.17,1.04235,40989.278,46790.712,2010-07-01
299,South Korea,KOR,KRW,3100.0,1304.0,11563.04,14925456.032,2002-04-01
300,Malaysia,MYS,MYR,5.04,3.8,4740.324,18013.231,2004-05-01
301,South Korea,KOR,KRW,2500.0,977.45,19398.494,19870426.961,2006-01-01
302,Brazil,BRA,BRL,2.95,1.79,3567.631,6471.445,2000-04-01
303,Pakistan,PAK,PKR,190.0,82.6,1228.232,76821.582,2009-07-01
304,Canada,CAN,CAD,4.73,0.94585,47625.742,49059.883,2011-07-01
305,United States,USA,USD,2.24,1.0,34496.241,34496.241,2000-04-01
306,Saudi Arabia,SAU,SAR,2.4,3.7502,11027.901,41354.628,2004-05-01
307,Euro area,EUZ,EUR,3.057482443,0.733756466,35198.4482703344,28031.7110705011,2007-06-01
308,Argentina,ARG,ARS,11.5,3.81125,9146.79,28925.107,2009-07-01
309,Sri Lanka,LKA,LKR,175.0,99.945,1259.771,127582.909,2005-06-01
310,Switzerland,CHE,CHF,6.3,1.66,39829.568,67216.977,2002-04-01
311,Norway,NOR,NOK,43.0,6.1023,66924.047,431158.174,2006-05-01
312,Austria,AUT,EUR,3.09,0.697520315,46955.173,35389.805,2011-07-01
313,Sweden,SWE,SEK,30.0,8.34,29846.186,290615.995,2003-04-01
314,Sri Lanka,LKA,LKR,140.0,99.0,1162.71,112150.411,2004-05-01
315,Russia,RUS,RUB,48.0,27.06375,5697.621,161329.859,2006-05-01
316,United States,USA,USD,2.24,1.0,36312.782,36312.782,2001-04-01
317,Ukraine,UKR,UAH,14.0,7.66,2557.279,19924.373,2010-01-01
318,Norway,NOR,NOK,45.0,6.24625,80115.693,503794.183,2010-07-01
319,Mexico,MEX,MXN,29.0,11.3031,8626.151,94006.861,2006-05-01
320,Saudi Arabia,SAU,SAR,9.0,3.749,15943.392,59787.721,2006-05-01
321,Singapore,SGP,SGD,4.23,1.3742,38926.813,56619.622,2010-07-01
322,Britain,GBR,GBP,1.88,0.546448087,40410.653,22062.335,2005-06-01
323,Uruguay,URY,UYU,61.0,19.15,7622.824,178473.82,2008-06-01
324,South Korea,KOR,KRW,3300.0,1220.0,13159.675,16470682.092,2003-04-01
325,Czech Republic,CZE,CZK,56.42,24.5409,11751.897,302020.814,2005-06-01
326,Indonesia,IDN,IDR,14600.0,9460.0,1404.348,13628832.874,2006-01-01
327,Malaysia,MYS,MYR,5.5,3.7488,5678.332,21504.443,2006-01-01
328,Brazil,BRA,BRL,6.4,2.1335,6066.958,13197.605,2007-01-01
329,Turkey,TUR,TRY,4.75,1.2981,7961.078,11411.982,2007-06-01
330,Indonesia,IDN,IDR,16000.0,9430.0,834.139,8558977.964,2002-04-01
331,Brazil,BRA,BRL,5.9,2.4648,3750.129,10969.566,2005-06-01
332,Hungary,HUN,HUF,530.0,203.643,10291.667,2086592.666,2005-06-01
333,Czech Republic,CZE,CZK,67.64,18.21005,19908.146,379282.784,2010-01-01
334,South Korea,KOR,KRW,2900.0,940.15,21730.952,20760465.708,2007-01-01
335,Russia,RUS,RUB,46.0,28.67,5697.621,161329.859,2006-01-01
336,Colombia,COL,COP,6900.0,2239.325,3836.672,9049154.845,2007-01-01
337,Egypt,EGY,EGP,9.09,5.7,1563.739,8995.797,2007-01-01
338,Mexico,MEX,MXN,28.0,10.8675,7806.561,88104.588,2005-06-01
339,Argentina,ARG,ARS,4.75,3.0638,5163.55,15094.732,2006-01-01
