name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Croatia,HRV,EUR,4.38,0.91865,21347.327,19737.159,2024-01-01
Hungary,HUN,HUF,1400,352.0509,22146.885,7817056.563,2024-01-01
Indonesia,IDN,IDR,38000,15635,4942.361,75306188.823,2024-01-01
India,IND,INR,215,83.06625,2500.356,207029.491,2024-01-01
Ireland,IRL,EUR,5.5,0.91865,104272.075,96407.133,2024-01-01
Israel,ISR,ILS,17,3.76425,52219.276,191507.652,2024-01-01
Italy,ITA,EUR,5.8,0.91865,38325.839,35435.031,2024-01-01
Jordan,JOR,JOD,2.5,0.709,4497.524,3188.738,2024-01-01
Japan,JPN,JPY,450,147.86,33805.939,4749433.499,2024-01-01
South Korea,KOR,KRW,5500,1338.9,33192.046,43337609.824,2024-01-01
Kuwait,KWT,KWD,1.4,0.30775,32638.041,10025.209,2024-01-01
Lebanon,LBN,LBP,430000,89500,,,2024-01-01
Sri Lanka,LKA,LKR,1820,319.95,,,2024-01-01
Lithuania,LTU,EUR,3.85,0.91865,27026.117,24987.615,2024-01-01
Latvia,LVA,EUR,3.7,0.91865,23153.479,21407.079,2024-01-01
Moldova,MDA,MDL,63,17.7,6832.465,123812.299,2024-01-01
Mexico,MEX,MXN,89,17.1385,13641.613,242257.537,2024-01-01
Malaysia,MYS,MYR,13.15,4.7265,12570.46,57329.141,2024-01-01
Nicaragua,NIC,NIO,159,36.6243,2608.085,94967.033,2024-01-01
Netherlands,NLD,EUR,5.53,0.91865,62718.681,57987.992,2024-01-01
Norway,NOR,NOK,75,10.5057,87739.41,926820.638,2024-01-01
New Zealand,NZL,NZD,8.2,1.63813580145794,47536.739,77364.689,2024-01-01
Oman,OMN,OMR,1.42,0.385,21623.401,8314.198,2024-01-01
Pakistan,PAK,PKR,1065,279.75,1460.74,363066.663,2024-01-01
Peru,PER,PEN,15.9,3.7418,7932.905,29697.16,2024-01-01
Philippines,PHL,PHP,161,56.3,3867.672,215160.12,2024-01-01
Poland,POL,PLN,19.9,4.00785,21995.995,92406.092,2024-01-01
Portugal,PRT,EUR,4.95,0.91865,27880.066,25777.153,2024-01-01
Qatar,QAT,QAR,14,3.641,78696.207,286454.195,2024-01-01
Romania,ROU,RON,15.65,4.57225,18175.989,83162.188,2024-01-01
Saudi Arabia,SAU,SAR,19,3.7506,32529.702,121986.384,2024-01-01
Singapore,SGP,SGD,6.65,1.3415,84734.277,113778.363,2024-01-01
Slovakia,SVK,EUR,4.3,0.91865,24337.251,22501.562,2024-01-01
Slovenia,SVN,EUR,3.9,0.91865,32233.058,29801.811,2024-01-01
Sweden,SWE,SEK,61.29,10.44965,56224.808,596554.283,2024-01-01
Thailand,THA,THB,135,35.6775,7337.194,255350.393,2024-01-01
Turkey,TUR,TRY,120,30.25475,12849,304590.401,2024-01-01
Taiwan,TWN,TWD,75,31.3475,32443.705,1010853.599,2024-01-01
Ukraine,UKR,UAH,110,37.4443,5337.491,195637.25,2024-01-01
Uruguay,URY,UYU,275,39.065,21656.979,840754.624,2024-01-01
United States,USA,USD,5.69,1,81632.253,81632.253,2024-01-01
Venezuela,VEN,VES,178.13,36.1007,3659.195,107201.671,2024-01-01
Vietnam,VNM,VND,74000,24565,4324.049,101912409.712,2024-01-01
South Africa,ZAF,ZAR,51.9,19.18625,6138.248,113283.932,2024-01-01
United Arab Emirates,ARE,AED,18,3.673,51908.699,190634.696,2024-07-01
Argentina,ARG,ARS,6100,931.9742,14024.239,4122055.867,2024-07-01
Australia,AUS,AUD,7.75,1.53139356814701,65434.328,98423.077,2024-07-01
